ID,PERPUSTAKAAN ID,TAHUN,BUKU PELAJARAN JUDUL,BUKU PELAJARAN EKSEMPLAR,BUKU PANDUAN JUDUL,BUKU PANDUAN EKSEMPLAR,BUKU FIKSI JUDUL,BUKU FIKSI EKSEMPLAR,BUKU NON FIKSI JUDUL,BUKU NON FIKSI EKSEMPLAR ,BUKU REFERENSI JUDUL,BUKU REFERENSI EKSEMPLAR,KARYA GURU JUDUL,KARYA GURU EKSEMPLAR,KARYA SISWA JUDUL,KARYA SISWA EKSEMPLAR,KORAN JUDUL,KORAN EKSEMPLAR,MAJALAH JUDUL,MAJALAH EKSEMPLAR,KASET,CD,VCD,DVD,MULTIMEDIA LAIN,ATLAS,PETA,GLOBE,KARTO LAIN,PERAGA MATEMATIKA,PERAGA IPA,PERAGA LAIN,STATUS
1,1,2021,76,1097,10,10,572,2403,2279,9731,30,137,0,0,0,0,0,0,1,10,0,0,0,0,12,0,0,0,0,0,0,25,1
2,2,2021,47,11967,35,229,429,666,2432,3358,230,481,0,0,0,0,1,365,11,227,0,0,0,0,120,0,0,0,87,0,0,0,1
