ID,PERPUSTAKAAN ID,TAHUN,LUAS RUANGAN,AREA KOLEKSI,AREA BACA,AREA KERJA,AREA MULTIMEDIA,KERAPIAN,PROJECTOR,AC/KIPAS,KOMPUTER,INTERNET/WIFI,TELEVISI,VCD PLAYER,RAK BUKU,RAK KORAN,RAK REFERENSI,RAK MAJALAH,MEJA BACA,MEJA SIRKULASI,MEJA PERTUGAS,KURSI BACA,KURSI KERJA,ALMARI KATALOG,LOKER,MADING,STATUS
1,1,2021,63,1,1,1,0,1,0,0,0,0,0,0,2,0,1,1,6,1,1,12,1,0,0,1,1
2,2,2021,91,1,1,1,1,1,0,0,5,1,1,0,17,1,2,1,4,1,1,3,1,0,1,0,1
