ID,PERPUSTAKAAN ID,TAHUN,PEDOMAN KATALOG,PEDOMAN KLASIFIKASI,APLIKASI PERPUSTAKAAN,STATUS
1,1,2021,,,,1
1,2,2021,"Pedoman Pengolahan Bahan 
Perpustakaan",e-DDC edition 23,SLIMS 9 Bulian,1
