ID,PERPUSTAKAAN ID,TAHUN,SISTEM LAYANAN,HARI AWAL,HARI AKHIR,JAM BUKA,JAM TUTUP,PENGUNJUNG SISWA LAKI,PENGUNJUNG SISWA PEREMPUAN,PENGUNJUNG GURU LAKI,PENGUNJUNG GURU PEREMPUAN,PEMINJAM SISWA LAKI,PEMINJAM SISWA PEREMPUAN,PEMINJAN GURU LAKI,PEMINJAM GURU PEREMPUAN,KOLEKSI TERBACA JUDUL,KOLEKSI TERBACA EKSEMPLAR,KOLEKSI TERPINJAM JUDUL,KOLEKSI TERPINJAM EKSEMPLAR,STATUS
1,1,2021,terbuka,senin,jumat,07.00,14.00,14,23,2,10,1,2,0,1,6,24,0,0,1
2,2,2021,terbuka,senin,jumat,07.00,15.00,1029,1235,40,50,215,407,30,20,400,477,0,0,1
